campaign_duration,dollars_pledged
30,296.79
32,50
30,151
28,585
30,3.19
30,0
30,0
32,200
30,573
60,31
25,6142
32,638.1
30,1257.93
60,40
36,31247
31,9425
13,0
30,2693
30,215
7,0
30,515
60,0
29,7550
30,183
30,1
31,0
28,4.89
31,109341
33,585
61,1240
30,886
60,0.89
45,11
30,145
44,4653
55,80
31,2695
25,0
30,5727.01
30,0
17,5760.02
59,0
30,81797
30,8285
60,690
29,1
15,945
38,20622.01
30,65
59,0
59,146
60,591
30,2
32,578
30,10
15,140
29,2588
40,0
30,3053
35,5130
30,23636.18
21,824
15,682
30,15618.77
61,0
35,10463
30,8435
41,916.18
40,280
31,1277
25,7573
40,32.59
60,0
32,1000
30,2582
30,92.02
30,3298
60,27.36
30,470310.46
30,0
35,18.71
34,9177
41,1050.37
45,26385
40,3705
30,160
30,10010
60,0
30,2010
47,25
30,27200
42,10785
29,0
33,23051.41
22,2530
49,25
22,0
30,3
17,0
60,120
24,2603.23
36,29404
30,1
31,2
60,50
30,0
31,20150
45,6
25,1164.1
38,14056.99
32,35784
30,35
33,5890
60,0
24,104983.42
33,35
43,187849
30,6784.52
7,388.44
42,5555.4
34,7692.01
27,7876.96
30,1640
36,4929
29,60
35,128785
60,3347
33,28
59,815.85
30,4075
86,95
37,9335.19
37,140
30,8008.14
60,174
30,0
30,22
30,0
51,500
38,270
53,0
31,268
30,2100
30,260
30,0
14,2005
20,2863
29,37104
30,189
30,25
54,0.75
30,235
25,10801.18
30,0
30,0
60,543
30,0
45,14709
41,565
30,1035
30,0
30,0
30,0
60,1
14,0
30,0
31,386
30,0
30,11
22,802.59
30,2354
30,334.63
30,42.52
30,57.76
30,9305.67
30,7563.76
33,6535
32,13417
28,224
29,7500
40,2
13,0
30,200
29,15390
90,0
43,3496
37,460
30,130
30,0
42,8853.99
30,101.2
14,535
24,1570
45,0
45,315
40,0
30,0
30,1951
30,12.49
5,4673.19
30,1
30,81
36,10729.36
30,5411.91
9,813.68
50,0
53,111
45,31956
30,0
35,8760
24,2015
26,710
20,561.67
33,3930
46,2160
30,2136
30,0
60,0
30,8671
30,1
30,0
40,31
30,0
44,2010
33,194.25
30,75
35,2179.89
60,18422
30,20
30,1501
30,0
30,3695
30,7930
30,1601.99
50,13205
30,9249
90,10721.22
10,1682.06
15,6592
30,22007.92
30,0
30,1
30,2822
26,422
30,0
30,0
30,10215
30,130
30,93
30,785
30,35.25
30,150
35,44930.15
30,20
30,380
60,4735.75
26,21505.82
30,3840
25,179
30,0
30,11354
30,100
14,255
14,549
30,1080.39
35,8914
23,3235
9,1200
30,10860
32,3606
30,34.53
30,0
33,15390
25,0
30,1820.8
30,65.68
58,0
30,382
40,5035
62,5
45,25645
48,205.03
45,0
31,49857.5
30,173126.48
30,45
30,6137
30,1
48,0
30,15431
31,5550
50,1.51
17,21.39
36,13017
45,142
35,1113.08
33,2831.36
30,1875
52,1540
30,3986
30,34087.61
60,2
45,1200
30,405
43,13846.23
30,1.1
29,14466.37
30,357
14,2852.65
30,136
31,4347.52
30,9755
30,25
30,308.2
21,5310.77
30,1
30,8
30,11747
60,406.17
30,500
15,10390
30,3962.64
52,2531
30,0
35,3251
30,20
30,63423
29,14197.29
30,11993.08
30,50
30,0
31,0
30,2670
30,10885.12
30,2251
30,75.41
26,5625
59,19.74
21,9
35,1935
30,3480
35,1
30,1000
35,867.9
41,700.73
66,4645
89,1185
60,25
30,8000
30,90
30,6596
30,284.06
30,4576.22
30,2278255.33
10,360
30,180
30,25
60,5
35,39394.09
50,25352
20,10195
30,3450
30,72.7
60,145
30,1005
60,0
